curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
147,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
148,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
149,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
150,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
151,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
152,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
153,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
154,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
155,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
156,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
157,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
158,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
159,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
160,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
161,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
162,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
163,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
164,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
165,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
166,0.7280805687203792,['H1ED17', 'H2WP5', 'H2FS2', 'H1EE7', 'H2FS5', 'H2WP10', 'H1FS4', 'H2PF27', 'H1FS8', 'H1FS7', 'H1WP10', 'H2DS7', 'H1IR3', 'H2PF15', 'H1WP6', 'H2WP13', 'H1PF14', 'S62R', 'H2FS7', 'H1WP14', 'H1RF14', 'H2PF13', 'S60O', 'H1GH21', 'H1TO3', 'H2PF24', 'H2PF8', 'H2ED16', 'H1GH22', 'H1GH22', 'H2GH24', 'H1FS15', 'H1PF8', 'H1FS19', 'H2FS17', 'H1GH18', 'PA21', 'H1DA2', 'H1WP7', 'H2GH25', 'H1FS12', 'H2PF16', 'H2ED12', 'H2FS12', 'H1PF26', 'H1FS13', 'H2ED15', 'H2EE12', 'H2PF10', 'H2PF22', 'H1GH21', 'H2DS5', 'H1FS11', 'H1ED18', 'H2FV6', 'S60N', 'H2TO28', 'H1TO12', 'H1DS8', 'H2FS11', 'H2PF30', 'H1WP1', 'H1SE4', 'H1DS13', 'H2WP2', 'H2PF17', 'H2TO28', 'H2FV7', 'S62M', 'H1PF33'],66,58,45
167,0.7280805687203792,['H1ED17', 'H2WP5', 'H2FS2', 'H1EE7', 'H2FS5', 'H2WP10', 'H1FS4', 'H2PF27', 'H1FS8', 'H1FS7', 'H1WP10', 'H2DS7', 'H1IR3', 'H2PF15', 'H1WP6', 'H2WP13', 'H1PF14', 'S62R', 'H2FS7', 'H1WP14', 'H1RF14', 'H2PF13', 'S60O', 'H1GH21', 'H1TO3', 'H2PF24', 'H2PF8', 'H2ED16', 'H1GH22', 'H1GH22', 'H2GH24', 'H1FS15', 'H1PF8', 'H1FS19', 'H2FS17', 'H1GH18', 'PA21', 'H1DA2', 'H1WP7', 'H2GH25', 'H1FS12', 'H2PF16', 'H2ED12', 'H2FS12', 'H1PF26', 'H1FS13', 'H2ED15', 'H2EE12', 'H2PF10', 'H2PF22', 'H1GH21', 'H2DS5', 'H1FS11', 'H1ED18', 'H2FV6', 'S60N', 'H2TO28', 'H1TO12', 'H1DS8', 'H2FS11', 'H2PF30', 'H1WP1', 'H1SE4', 'H1DS13', 'H2WP2', 'H2PF17', 'H2TO28', 'H2FV7', 'S62M', 'H1PF33'],66,58,45
168,0.7280805687203792,['H1ED17', 'H2WP5', 'H2FS2', 'H1EE7', 'H2FS5', 'H2WP10', 'H1FS4', 'H2PF27', 'H1FS8', 'H1FS7', 'H1WP10', 'H2DS7', 'H1IR3', 'H2PF15', 'H1WP6', 'H2WP13', 'H1PF14', 'S62R', 'H2FS7', 'H1WP14', 'H1RF14', 'H2PF13', 'S60O', 'H1GH21', 'H1TO3', 'H2PF24', 'H2PF8', 'H2ED16', 'H1GH22', 'H1GH22', 'H2GH24', 'H1FS15', 'H1PF8', 'H1FS19', 'H2FS17', 'H1GH18', 'PA21', 'H1DA2', 'H1WP7', 'H2GH25', 'H1FS12', 'H2PF16', 'H2ED12', 'H2FS12', 'H1PF26', 'H1FS13', 'H2ED15', 'H2EE12', 'H2PF10', 'H2PF22', 'H1GH21', 'H2DS5', 'H1FS11', 'H1ED18', 'H2FV6', 'S60N', 'H2TO28', 'H1TO12', 'H1DS8', 'H2FS11', 'H2PF30', 'H1WP1', 'H1SE4', 'H1DS13', 'H2WP2', 'H2PF17', 'H2TO28', 'H2FV7', 'S62M', 'H1PF33'],66,58,45
169,0.7280805687203792,['H1ED17', 'H2WP5', 'H2FS2', 'H1EE7', 'H2FS5', 'H2WP10', 'H1FS4', 'H2PF27', 'H1FS8', 'H1FS7', 'H1WP10', 'H2DS7', 'H1IR3', 'H2PF15', 'H1WP6', 'H2WP13', 'H1PF14', 'S62R', 'H2FS7', 'H1WP14', 'H1RF14', 'H2PF13', 'S60O', 'H1GH21', 'H1TO3', 'H2PF24', 'H2PF8', 'H2ED16', 'H1GH22', 'H1GH22', 'H2GH24', 'H1FS15', 'H1PF8', 'H1FS19', 'H2FS17', 'H1GH18', 'PA21', 'H1DA2', 'H1WP7', 'H2GH25', 'H1FS12', 'H2PF16', 'H2ED12', 'H2FS12', 'H1PF26', 'H1FS13', 'H2ED15', 'H2EE12', 'H2PF10', 'H2PF22', 'H1GH21', 'H2DS5', 'H1FS11', 'H1ED18', 'H2FV6', 'S60N', 'H2TO28', 'H1TO12', 'H1DS8', 'H2FS11', 'H2PF30', 'H1WP1', 'H1SE4', 'H1DS13', 'H2WP2', 'H2PF17', 'H2TO28', 'H2FV7', 'S62M', 'H1PF33'],66,58,45
170,0.7280805687203792,['H1ED17', 'H2WP5', 'H2FS2', 'H1EE7', 'H2FS5', 'H2WP10', 'H1FS4', 'H2PF27', 'H1FS8', 'H1FS7', 'H1WP10', 'H2DS7', 'H1IR3', 'H2PF15', 'H1WP6', 'H2WP13', 'H1PF14', 'S62R', 'H2FS7', 'H1WP14', 'H1RF14', 'H2PF13', 'S60O', 'H1GH21', 'H1TO3', 'H2PF24', 'H2PF8', 'H2ED16', 'H1GH22', 'H1GH22', 'H2GH24', 'H1FS15', 'H1PF8', 'H1FS19', 'H2FS17', 'H1GH18', 'PA21', 'H1DA2', 'H1WP7', 'H2GH25', 'H1FS12', 'H2PF16', 'H2ED12', 'H2FS12', 'H1PF26', 'H1FS13', 'H2ED15', 'H2EE12', 'H2PF10', 'H2PF22', 'H1GH21', 'H2DS5', 'H1FS11', 'H1ED18', 'H2FV6', 'S60N', 'H2TO28', 'H1TO12', 'H1DS8', 'H2FS11', 'H2PF30', 'H1WP1', 'H1SE4', 'H1DS13', 'H2WP2', 'H2PF17', 'H2TO28', 'H2FV7', 'S62M', 'H1PF33'],66,58,45
