curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
41,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
42,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
43,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
44,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
45,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
46,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
47,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
48,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
49,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
50,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
51,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
52,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
53,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
54,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
55,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
56,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
57,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
58,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
59,0.7268957345971564,['H2TO15', 'H1PF31', 'H2PF29', 'H2GH22', 'H2PF21', 'H2DS2', 'H1PF31', 'H1PF10', 'H1FS5', 'H2PF14', 'H2ED3', 'H2FS3', 'H2ED12', 'S60M', 'H1DS8', 'H1PF2', 'H2FS14', 'H1GH17', 'H2FS6', 'H2PF33', 'H2WP7', 'H1PF35', 'H2DS5', 'H1FS3', 'H1PF33', 'H1TO12', 'H2FS15', 'H1DS14', 'H2ED14', 'H2GH25', 'H2PF35', 'H1FS18', 'H1TO3', 'H2DS14', 'H1ED18'],71,59,14
60,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
61,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
62,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
63,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
64,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
65,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
66,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
67,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
68,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
69,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
70,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
71,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
72,0.7274881516587678,['H1TO12', 'H2PF29', 'H1GH28', 'H2PF27', 'H1GH19', 'PA21', 'H2EE12', 'H1PF34', 'H1DS10', 'H2PR3', 'H2PF8', 'H2GH24', 'S62P', 'H2FS16', 'H2DS11', 'H2DS9', 'H1WP3', 'S45C', 'H1TO3', 'H1ED16', 'H1PF8', 'H2PF12', 'H1TO50', 'H2FS8', 'H2PF28', 'H2SE4', 'S62M', 'H2PF31', 'H2ED12', 'H2WP14', 'H2TO15', 'H2ED11', 'H1FS10', 'H2GH25', 'H2WP7'],92,66,15
73,0.7274881516587678,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H2PR3', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],64,3,15
74,0.7274881516587678,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H2PR3', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],64,3,15
75,0.7274881516587678,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H2PR3', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],64,3,15
76,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
77,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
78,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
79,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
80,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
81,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
82,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
83,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
84,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
85,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
86,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
87,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
