curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
22,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
23,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
24,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
25,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
26,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
27,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
28,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
29,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
30,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
31,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
