curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
108,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
109,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
110,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
111,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
112,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
113,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
114,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
115,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
116,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
117,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
118,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
119,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
120,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
121,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
122,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
123,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
124,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
125,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
126,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
127,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
128,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
129,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
130,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
131,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
132,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
133,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
134,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
135,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
136,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
137,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
138,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
139,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
140,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
141,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
142,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
143,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
144,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
145,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
146,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
147,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
148,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
149,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
150,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
151,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
152,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
153,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
154,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
155,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
156,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
157,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
158,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
159,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
160,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
161,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
162,0.705568720379147,['H2PF5', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,12,3
