curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
38,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
39,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
40,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
41,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
42,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
43,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
44,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
45,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
46,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
47,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
