curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
161,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
162,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
163,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
164,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
165,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
166,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
167,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
168,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
169,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
170,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
171,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
172,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
173,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
174,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
175,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
176,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
177,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
178,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
179,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
180,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
181,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
182,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
183,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
184,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
185,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
186,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
187,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
188,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
189,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
190,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
191,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
192,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
193,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
194,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
195,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
196,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
197,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
198,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
199,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
200,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
201,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
202,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
203,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
204,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
205,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
206,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
207,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
208,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
209,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
210,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
211,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
212,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
213,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
214,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
215,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
216,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
217,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
218,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
219,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
220,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
221,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
222,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
223,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
224,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
225,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
226,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
227,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
228,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
229,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
230,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
231,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
232,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
233,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
234,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
235,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
236,0.7286729857819905,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H1RM14', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,11
237,0.7298578199052133,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H1DS11', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H2ED15', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],16,8,12
238,0.7298578199052133,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H1DS11', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H2ED15', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],16,8,12
239,0.7298578199052133,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H1DS11', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H2ED15', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],16,8,12
240,0.7298578199052133,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H1DS11', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H2ED15', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],16,8,12
241,0.7298578199052133,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H1DS11', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H2ED15', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],16,8,12
