curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
46,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
47,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
48,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
49,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
50,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
51,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
52,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
53,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
54,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
55,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
56,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
57,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
58,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
59,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
60,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
61,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
62,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
63,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
