curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
30,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
31,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
32,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
33,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
34,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
35,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
36,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
37,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
38,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
39,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
