curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
29,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
30,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
31,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
32,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
33,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
34,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
35,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
36,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
37,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
38,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
39,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
40,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
41,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
42,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
43,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
44,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
45,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
46,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
47,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
48,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
49,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
50,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
51,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
52,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
53,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
54,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
55,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
56,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
57,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
58,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
59,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
60,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
61,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
62,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
63,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
