curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
42,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
43,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
44,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
45,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
46,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
47,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
48,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
49,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
50,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
51,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
52,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
53,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
54,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
55,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
56,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
57,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
58,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
59,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
60,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
61,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
62,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
63,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
64,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
65,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
66,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
67,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
68,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
69,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
70,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
71,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
72,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
73,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
74,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
75,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
76,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
77,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
78,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
79,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
80,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
81,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
82,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
83,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
