curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
156,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
157,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
158,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
159,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
160,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
161,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
162,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
163,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
164,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
165,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
166,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
167,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
168,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
169,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
170,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
171,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
172,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
173,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
174,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
175,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
176,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
177,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
178,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
179,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
180,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
181,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
182,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
183,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
184,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
185,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
186,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
187,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
188,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
189,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
190,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
191,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
192,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
193,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
194,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
195,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
196,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
197,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
198,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
199,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
200,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
201,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
202,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
203,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
204,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
205,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
206,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
207,0.7067535545023697,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,2
208,0.7079383886255924,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,71,3
209,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
210,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
211,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
212,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
213,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
214,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
215,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
216,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
217,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
218,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
219,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
220,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
221,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
222,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
223,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
224,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
225,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
226,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
227,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
228,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
229,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
230,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
231,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
232,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
233,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
234,0.7085308056872038,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1GH22', 'H1PF10', 'H1PF33', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1GH19', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],2,72,3
