curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
44,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
45,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
46,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
47,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
48,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
49,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
50,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
51,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
52,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
53,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
54,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
55,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
56,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
