curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
37,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
38,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
39,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
40,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
41,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
42,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
43,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
44,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
45,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
46,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
47,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
48,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
49,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
50,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
51,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
52,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
53,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
54,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
55,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
56,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
57,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
58,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
59,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
60,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
61,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
62,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
63,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
64,0.7031990521327014,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H2DS13', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1TO3', 'H1FS11', 'H1FS2', 'H1FS14', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1FS17', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1DS10', 'H2WP14', 'S62O'],23,5,5
65,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
66,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
67,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
68,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
69,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
70,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
71,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
72,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
73,0.7031990521327014,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED17', 'PC40', 'H2WP13', 'H2DS13', 'H2PF21', 'H2GH31', 'H1FS7', 'H2PF33', 'H2PR5', 'H1WP7', 'H2ED5', 'H2FS18', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1TO1', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1ED7', 'H2FV4', 'H1PF31', 'H2ED15', 'H1PF25', 'H1ED18', 'H2GH27'],32,66,35
