curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
70,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
71,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
72,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
73,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
74,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
75,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
76,0.7008293838862559,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,4
77,0.7008293838862559,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,4
78,0.7008293838862559,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,4
79,0.7008293838862559,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,4
80,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
81,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
82,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
83,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
84,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
85,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
86,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
87,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
88,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
89,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
90,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
91,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
92,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
