curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
68,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
69,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
70,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
71,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
72,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
73,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
74,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
75,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
76,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
77,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
78,0.7304502369668247,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,74,27
79,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
80,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
81,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
82,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
83,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
84,0.731042654028436,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H1DS6', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H2WP4', 'H1PF7', 'H2PF31', 'H2GH31', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'H2PF34', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2FS2', 'H2TO30', 'H1TO1'],15,18,18
85,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
86,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
87,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
88,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
89,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
90,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
91,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
92,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
93,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
94,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
95,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
96,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
97,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
98,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
99,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
100,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
101,0.731042654028436,['H1FS7', 'H2TO27', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2TO28', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,75,27
