curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
27,0.7061611374407583,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],25,68,6
28,0.7061611374407583,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],25,68,6
29,0.7061611374407583,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],25,68,6
30,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
31,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
32,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
33,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
34,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
35,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
36,0.7091232227488151,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],23,68,4
