curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
127,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
128,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
129,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
130,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
131,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
132,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
133,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
134,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
135,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
136,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
137,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
138,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
139,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
140,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
141,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
142,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
143,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
144,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
145,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
146,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
147,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
148,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
149,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
150,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
151,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
152,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
153,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
154,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
155,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
156,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
157,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
158,0.7049763033175356,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],22,62,2
159,0.7049763033175356,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],22,62,2
160,0.7049763033175356,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],22,62,2
161,0.7049763033175356,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],22,62,2
162,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
163,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
164,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
165,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
166,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
167,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
168,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
169,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
170,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
171,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
172,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
173,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
174,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
175,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
176,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
177,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
178,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
179,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
180,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
181,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
182,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
183,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
184,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
185,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
186,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
187,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
188,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
189,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
190,0.7067535545023697,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1FS12', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF25', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,62,2
