curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
34,0.7020142180094787,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,5
35,0.7020142180094787,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,5
36,0.70260663507109,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],3,74,5
37,0.70260663507109,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],3,74,5
38,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
39,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
40,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
41,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
42,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
43,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
