curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
31,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
32,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
33,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
34,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
35,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
36,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
37,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
38,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
39,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
40,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
