curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
105,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
106,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
107,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
108,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
109,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
110,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
111,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
112,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
113,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
114,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
115,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
116,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
117,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
118,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
119,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
120,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
121,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
122,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
123,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
124,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
125,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
126,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
127,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
128,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
129,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
130,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
131,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
132,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
133,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
134,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
135,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
136,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
137,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
138,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
139,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
140,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
141,0.731042654028436,['H1FS17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1PF16', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H1ED18', 'H1FS6', 'H2PF13', 'H1PF16', 'H2SE4', 'H1DS9', 'H1WP5', 'H1FS14', 'H1TO1', 'H2DS2', 'H1PF23', 'H2FS3', 'H1FS4', 'H2FV6', 'H1GH29', 'S62R', 'H1EE7', 'H2DS5', 'H1GH19', 'H1ED9', 'H2FS6', 'H1PF25', 'H2FS15', 'H1GH18', 'H1TO3', 'H2DS9', 'H2TO15', 'H2PR3', 'H2DS6', 'H1ED19'],82,10,21
