curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
289,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
290,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
291,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
292,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
293,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
294,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
295,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
296,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
297,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
298,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
299,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
