curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
44,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
45,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
46,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
47,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
48,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
49,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
50,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
51,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
52,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
53,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
54,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
55,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
56,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
57,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
58,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
59,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
60,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
61,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
62,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
63,0.726303317535545,['S60K', 'H1PF31', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,25,2
64,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
65,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
66,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
67,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
68,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
69,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
70,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
71,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
72,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
73,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
74,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
75,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
76,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
77,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
78,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
79,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
80,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
81,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
82,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
83,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
84,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
85,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
86,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
87,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
88,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
89,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
90,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
91,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
92,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
93,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
94,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
95,0.7286729857819905,['S60K', 'S60K', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],12,26,3
96,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
97,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
98,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
99,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
100,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
101,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
102,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
103,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
104,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
105,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
106,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
107,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
108,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
109,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
110,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
111,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
112,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
113,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
114,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
115,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
116,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
117,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
118,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
119,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
120,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
121,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
122,0.7286729857819905,['H1FS16', 'H1TO3', 'S62O', 'H1TO9', 'H1ED19', 'H1RM14', 'H2PF10', 'H1TO1', 'H1PF16', 'H2SE4'],76,9,4
123,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
124,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
125,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
126,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
127,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
128,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
129,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
130,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
131,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
132,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
133,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
134,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
135,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
136,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
137,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
138,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
139,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
140,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
141,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
142,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
143,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
144,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
145,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
