curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
76,0.7020142180094787,['H1SE4', 'H1IR12', 'H2PF16', 'H1PF8', 'H2ED3', 'H2PF4', 'S45C', 'H1WP3', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1DS5', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'S62O', 'H1FS13', 'H1PF1', 'H2FS5', 'H1PF33', 'H2GH31', 'H1TO1', 'H1FS2', 'H2FS9', 'H2FS19', 'H2FS12', 'H1DA2', 'H2GH30', 'PA56', 'H2GH25', 'S60O', 'H1PF4', 'H2WP9', 'H1PF5'],34,2,2
77,0.7043838862559242,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'S62H', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,23
78,0.7043838862559242,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'S62H', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,23
79,0.705568720379147,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,22
80,0.705568720379147,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,22
81,0.705568720379147,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,22
82,0.705568720379147,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],2,98,22
83,0.7061611374407583,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],3,98,20
84,0.7061611374407583,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],3,98,20
85,0.7061611374407583,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],3,98,20
86,0.7061611374407583,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H2DS11', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],3,98,20
87,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
88,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
89,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
90,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
91,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
92,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
93,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
94,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
95,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
96,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
97,0.7067535545023697,['H2ED3', 'H1FS3', 'H2WP10', 'H1FS18', 'H2TO27', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H2PF22', 'H2EE14', 'H1PF10', 'S62E', 'H2ED15', 'H1ED18', 'H2PF35', 'H2WP1', 'H1PF10', 'H1PF10', 'H1FS19', 'H2TO1', 'S60L', 'H2ED16', 'H1PF35', 'H2TO26', 'H2PF9', 'H1IR12', 'H2TO30', 'H1DS7', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'H1RM14', 'H1DS6', 'H2PF17'],4,96,20
98,0.707345971563981,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,65,31
99,0.707345971563981,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,65,31
100,0.707345971563981,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,65,31
101,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
102,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
103,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
104,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
105,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
106,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
107,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
108,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
109,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
110,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
111,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
112,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
113,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
114,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
115,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
116,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
117,0.7079383886255924,['H1ED18', 'H1FS10', 'S60M', 'H2FS12', 'H2FS8', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1TO50', 'H2PF33', 'H1TO3', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2FS19', 'H1TO9', 'H1FS6', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],30,64,32
