curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
79,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
80,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
81,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
82,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
83,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
84,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
85,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
86,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
87,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
88,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
89,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
90,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
91,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
92,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
93,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
94,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
95,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
96,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
97,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
98,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
99,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
100,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
