curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
151,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
152,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
153,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
154,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
155,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
156,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
157,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
158,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
159,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
160,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
161,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
162,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
163,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
164,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
165,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
166,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
167,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
168,0.7322274881516587,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H1PF32', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,56,27
