curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
278,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
279,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
280,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
281,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
282,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
283,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
284,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
285,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
286,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
287,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
288,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
289,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
290,0.7085308056872038,['H2PR4', 'H1TO9', 'H2PF30', 'H2FS15', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
291,0.7085308056872038,['H2PR4', 'H1TO9', 'H2PF30', 'H2FS15', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
292,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
293,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
294,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
295,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
296,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
297,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
298,0.7091232227488151,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],14,65,2
299,0.7097156398104265,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF9', 'H2FS3', 'H2GH25', 'H2TO1', 'H1IR12', 'H1TO50', 'S62E'],14,64,3
