curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
45,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
46,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
47,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
48,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
49,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
50,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
51,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
52,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
53,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
54,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
55,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
56,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
57,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
58,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
59,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
60,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
61,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
62,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
63,0.7020142180094787,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],2,64,2
64,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
65,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
66,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
67,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
68,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
69,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
70,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
71,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
72,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
73,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
74,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
75,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
76,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
77,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
78,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
79,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
80,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
81,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
82,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
83,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
84,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
85,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
86,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
87,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
88,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
89,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
90,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
91,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
92,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
93,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
94,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
95,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
96,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
97,0.70260663507109,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H2WP1', 'H1SE4', 'H1RF14', 'H2PF10'],3,62,3
98,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
99,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
100,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
101,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
102,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
103,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
104,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
105,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
106,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
107,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
