curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
203,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
204,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
205,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
206,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
207,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
208,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
209,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
210,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
211,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
212,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
213,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
214,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
215,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
216,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
217,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
218,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
219,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
220,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
221,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
222,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
223,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
224,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
225,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
226,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
227,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
228,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
229,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
230,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
231,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
232,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
233,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
234,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
235,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
236,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
237,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
238,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
239,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
240,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
241,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
242,0.7304502369668247,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H1ED19'],71,56,7
243,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
244,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
245,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
246,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
247,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
248,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
249,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
250,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
251,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
252,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
253,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
254,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
255,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
256,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
257,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
258,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
259,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
260,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
261,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
262,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
263,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
264,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
265,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
266,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
267,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
268,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
269,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
270,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
271,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
272,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
273,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
274,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
275,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
276,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
277,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
278,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
279,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
280,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
281,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
282,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
283,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
284,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
285,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
286,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
287,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
288,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
289,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
290,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
291,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
292,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
293,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
294,0.7304502369668247,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H2WP4', 'H2PF23', 'H2GH25', 'H1TO1'],58,31,5
295,0.7316350710900474,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H1FS17', 'H2PF23', 'H2GH25', 'H1TO1'],56,30,5
296,0.7316350710900474,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H1FS17', 'H2PF23', 'H2GH25', 'H1TO1'],56,30,5
297,0.7316350710900474,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H1FS17', 'H2PF23', 'H2GH25', 'H1TO1'],56,30,5
298,0.7316350710900474,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H1FS17', 'H2PF23', 'H2GH25', 'H1TO1'],56,30,5
299,0.7316350710900474,['H2WP1', 'H2PF25', 'H1TO3', 'H2PF15', 'H1WP7', 'S62Q', 'H2PR3', 'H2PF9', 'H2PF10', 'H2FS12', 'H1ED15', 'H1FS17', 'H2PF23', 'H2GH25', 'H1TO1'],56,30,5
