AID	PTNR_ID	H4TR13	H4TR14	H4TR15	H4TR16	H4TR17	H4TR18	H4TR19	H4TR20	H4TR21	H4TR22	H4TR23	H4TR24
57234514	2	1	1	1	1	1	1	1	33	7	97	0	1
57234514	3	2	0	7	7	1	0	1	36	7	97	0	1
57234514	4	2	0	7	7	1	0	1	30	7	97	0	1
57234514	5	3	0	7	7	97	1	1	33	7	97	0	1
57234514	6	3	0	7	7	97	1	1	35	7	97	0	1
57235039	1	2	0	7	7	2	1	1	35	7	97	0	1
57235039	2	3	0	7	7	97	1	1	30	7	97	0	1
57235039	3	5	7	7	7	97	97	1	35	7	97	0	1
57239363	1	2	1	7	7	1	1	2	22	7	97	0	1
57239974	1	1	1	1	0	97	4	1	33	7	97	0	1
57241075	1	2	0	7	7	1	0	1	27	7	97	0	3
57241075	2	2	0	7	7	1	1	1	28	7	97	0	1
57241075	3	3	1	7	7	97	0	1	26	7	97	0	1
57241075	4	4	7	7	7	97	97	1	36	7	97	0	1
57241170	1	2	0	7	7	1	1	1	38	7	97	0	2
57242812	1	1	1	1	1	5	97	2	24	7	97	0	2
57242885	1	1	1	1	1	1	2	1	33	7	97	0	1
57245293	1	2	1	7	7	1	3	2	31	7	97	0	5
57245315	1	2	0	7	7	3	1	1	30	7	97	0	2
57245315	2	2	0	7	7	1	1	1	29	7	97	0	2
57245315	3	3	0	7	7	97	1	1	34	7	97	0	2
57245315	4	3	0	7	7	97	1	1	28	7	97	0	2
57245315	5	5	7	7	7	97	97	1	28	7	97	0	2
57245379	1	1	1	1	0	97	1	1	29	7	97	0	1
57245379	2	3	0	7	7	97	1	1	28	7	97	1	5
57248884	1	1	1	1	1	4	2	1	29	7	97	0	1
57248884	2	2	0	7	7	1	0	1	38	7	97	0	1
57248884	3	2	0	7	7	1	1	1	33	7	97	0	1
57249576	1	1	1	1	1	1	0	1	29	7	97	0	1
57249576	2	2	0	7	7	1	0	1	34	7	97	0	1
57249576	3	2	0	7	7	1	0	1	28	7	97	0	1
57249576	4	2	0	7	7	1	0	1	29	7	97	0	1
57251197	1	2	0	7	7	1	1	1	31	7	97	0	2
57251197	2	3	0	7	7	97	1	1	28	7	97	0	2
57251197	3	4	7	7	7	97	97	1	21	7	97	0	2
57256290	1	2	0	7	7	1	0	2	96	6	97	6	96
57256290	2	2	1	7	7	1	2	2	21	7	97	0	1
57258682	1	2	1	7	7	1	97	2	23	7	97	1	5
57258751	1	2	0	7	7	6	97	1	27	7	97	0	2
57258751	2	5	7	7	7	97	97	1	37	7	97	0	2
57262270	1	2	0	7	7	1	0	1	31	7	97	0	1
57262270	2	2	0	7	7	1	0	1	31	7	97	0	1
57262270	3	3	0	7	7	97	1	1	28	7	97	0	1
57262270	4	5	7	7	7	97	97	1	26	7	97	0	1
57263513	1	1	1	1	1	3	97	2	26	7	97	0	1
57263513	2	2	0	7	7	1	97	2	35	7	97	0	1
57263513	3	2	0	7	7	1	97	2	27	7	97	0	1
57263513	4	2	0	7	7	1	97	2	28	7	97	0	1
57265490	1	1	1	1	0	97	1	1	34	7	97	0	2
57265490	2	2	0	7	7	1	0	1	32	7	97	0	2
57268298	1	2	0	7	7	1	97	1	29	7	97	0	1
57268298	2	2	0	7	7	1	97	1	30	7	97	0	1
57268298	3	2	0	7	7	3	97	1	20	7	97	0	1
57272130	1	1	1	1	1	1	97	1	28	7	97	0	1
57272130	2	2	0	7	7	1	97	1	29	7	97	1	1
57272274	1	3	1	7	7	97	2	1	31	7	97	0	2
57275298	1	2	1	7	7	1	0	1	22	7	97	0	2
57275298	2	2	0	7	7	1	1	1	28	7	97	0	1
57275298	3	4	7	7	7	97	97	1	30	7	97	0	2
