AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
97578112	155	2090.402784304	1372.417476225	1894.983166785
97578122	151	5541.917492218	4172.656451705	5150.213368655
97578132	157	1044.874990837	765.909376043	941.129833562
97578149	159	6841.002293961	5429.12651812	6391.228889212
97578211	155	5255.758200882	4140.110644137	5009.898710117
97578219	155	 	3592.378773181	4974.999289707
97578245	159	8496.594482441	6232.138574972	7448.905318815
97578263	154	9032.054930325	6781.640312911	8105.692129504
97578290	158	5387.988016395	4275.991640136	5033.745522277
97578298	158	5387.988016395	4275.991640136	5033.745522277
97578314	155	5814.059956906	4284.837967091	5216.070789453
97578317	155	5245.420874374	3949.416295731	4874.673206404
97578366	154	3895.007361496	2932.654197614	3619.707260593
97578394	158	4327.925738875	3357.80062339	4200.382329742
97578442	159	6589.966086122	5222.2843072	6086.65388647
97578482	153	 	7293.249912282	10070.249070966
97578485	153	 	3808.427484354	5274.199973291
97578496	158	5134.103586525	3977.898267454	4636.302530714
97578532	157	 	5558.350255529	7454.310592793
97578541	159	 	4780.90986381	 
97578580	153	1811.99037599	1289.431623203	1749.844095774
97578585	153	1457.219690589	1026.165643233	1304.17752738
97578608	156	 	1092.647637794	 
97578690	158	5387.988016395	4275.991640136	5033.745522277
97578812	155	 	7948.92037701	9567.863443393
97578823	151	9767.89407422	6979.231613998	8730.548485341
97578883	153	1811.99037599	1289.431623203	1749.844095774
97578889	153	 	1317.60534762	 
97578911	155	1526.650922048	1149.455910943	1418.746850534
97578980	153	 	4783.157012191	5822.690557793
97579237	107	 	2858.265094842	3958.342845914
97579238	107	5261.345965955	3454.244897854	4769.493283773
97579263	104	3223.075296259	2557.883013176	3011.168694351
97579268	104	3801.891362762	2993.815277324	3600.536229247
97579274	110	7515.911149003	5956.058701182	6941.879397798
97579293	108	4910.465991055	3733.81699822	4600.076095516
97579295	108	5177.102336308	4102.646346634	4781.698364473
97579298	108	 	4710.216599527	5699.777154449
97579299	108	4118.043316081	3085.836433516	3765.863440313
97579338	107	 	2858.265094842	3958.342845914
97579376	110	9371.384525413	6909.977318195	8724.921096105
97579935	107	3857.850820245	2904.678053654	3585.176953031
97579946	109	3598.220096808	2639.24638429	3154.534545902
97579948	109	 	3372.740356021	4523.18637848
97579960	104	3083.360094163	2515.273497513	2887.41132726
97579963	104	3801.891362762	2993.815277324	3600.536229247
97579967	104	3576.066340205	2833.889413981	3302.942352574
97579973	110	 	5960.537994711	 
97579986	103	5014.791440855	4090.852713122	4696.099439563
97579987	103	5816.131209825	4609.051146659	5371.921064518
97579992	108	 	3703.069480181	4359.295102352
97579996	108	4666.074132563	3703.069480181	4359.295102352
97590354	142	613.481318996	436.559831355	592.440599099
97606524	371	6425.651636717	4985.311295352	6236.288517964
97608170	360	7914.677232749	6272.064858753	7310.1895077
97608178	360	1197.887917296	895.875723647	1090.578273668
97608870	360	 	5456.455535378	6825.658216325
97608972	360	7914.677232749	6272.064858753	7310.1895077
97614378	370	6367.029489453	4771.10366836	5822.513688502
97614777	370	4428.488067542	3488.446363987	4221.327505824
97614875	370	 	3488.446363987	4221.327505824
97619466	304	6024.457876765	4674.047022685	5846.917885985
97619960	304	 	7509.814446749	 
97619969	304	7700.303720713	6281.578952837	7210.946340202
97646125	371	 	1014.07738821	 
97646225	371	5289.102884098	4021.987285347	4908.314229097
97676929	371	 	5435.136662421	 
97676956	372	6074.201816944	4712.640622349	5895.19587871
97678071	360	7045.107261039	5279.218064377	6442.60145682
97678273	360	 	5830.824880745	 
97678274	360	 	730.545209599	901.695058875
97678371	360	5659.107543742	4172.735059845	5268.727012495
97678577	360	5659.107543742	4172.735059845	5268.727012495
97678775	360	 	1093.862474502	 
97710039	247	9442.945719273	7180.221042996	8846.058389084
97710114	245	6514.769036758	5265.011390843	6043.97634814
97710115	245	10042.094357023	7635.801302012	9407.334921942
97710183	243	9931.444085488	7551.665119118	9303.678839204
97710198	248	6037.715910486	5176.518155261	5645.891418943
97710215	245	4987.305646349	4068.430975677	4670.360378288
97710255	242	6228.99389412	5081.347224968	5833.13884141
97710455	242	6228.99389412	5081.347224968	5833.13884141
97710486	243	2317.685700289	1671.64584508	2210.729633153
97710575	250	 	6430.84169499	 
97710657	242	6228.99389412	5081.347224968	5833.13884141
97710686	243	5835.062582957	4024.208000853	5321.962127109
97711063	234	 	6191.221729972	 
97711065	234	4920.779136241	4014.161489581	4608.061654499
97711071	240	 	3665.508666493	 
97711072	240	 	3665.508666493	 
97712240	219	8303.950707033	7119.505493906	7765.056311897
97712279	220	8883.413770469	6754.764496653	8321.894379587
97712290	218	6096.95655516	4635.999936571	5711.568750477
97712972	220	10147.529163418	7990.714341312	9610.097423637
97712990	218	4132.050699167	3370.750511323	3869.457224984
97712994	218	3626.116263144	3108.900277446	3390.795293733
97712995	218	5186.442908546	4084.086191062	4911.759387984
97712998	218	4132.050699167	3370.750511323	3869.457224984
97712999	218	6096.95655516	4635.999936571	5711.568750477
97713039	287	4318.38441964	2849.58461848	3725.015096442
97713236	287	7737.291336163	5883.27665109	7248.218190364
97713295	288	5354.302705869	4590.584515173	5006.829097239
97713393	288	 	4681.555123211	 
97713404	286	9181.448464789	7229.970048876	8695.182129144
97713507	286	1178.665257847	850.119962674	1124.272464021
97713607	286	9924.862918021	7546.660935197	9297.513666448
97713994	288	7172.765768616	5648.224446674	6792.882949459
97714011	265	20873.490291645	17896.171840529	19518.881223991
97714018	265	13553.581965012	11866.940021872	13060.851040532
97714021	261	6920.220366707	5645.220264178	6480.437595268
97714029	261	 	7683.40003043	 
97714046	269	4591.485575858	3745.537864693	4299.694831551
97714097	268	4865.536623079	3928.00846611	4488.044863406
97714119	265	19709.179121129	15014.876630539	20376.181836967
97714214	265	12922.382010512	10432.400343845	11919.801390487
97714234	267	 	4461.846278638	 
97714480	263	6907.793729116	5922.491250286	6459.504540667
97714489	263	 	5922.491250286	 
97714894	268	7651.364051473	6241.656060519	7165.116806511
97714915	265	 	11866.940021872	 
97714933	267	12114.960310745	9211.965793759	11349.175297233
97714981	263	9685.954418973	7364.999843075	9073.706541526
97714991	268	5493.440687367	4809.823065148	5293.730521047
97715120	221	1241.841073541	895.685929536	1184.532855599
97715124	221	2378.628478645	1920.296469978	2194.083027737
97715250	222	 	1520.920222393	 
97715351	222	2405.422848052	1960.778124065	2240.336359739
97715354	222	1695.997520354	1350.314318985	1550.094995177
97715355	222	 	4037.237857933	 
97715363	224	6097.353810645	4973.960866234	5709.864537877
97715898	228	 	908.332630408	 
97715952	222	1773.949969825	1520.920222393	1658.827454083
97715953	222	3586.400825002	2851.963590739	3513.629496382
97715983	223	3079.547116068	2640.291758117	2879.696377672
97715984	223	5918.131827584	4660.257694941	5604.696721054
97715986	223	5918.131827584	4660.257694941	5604.696721054
97715987	223	7391.917606327	5620.661594688	6924.675487588
97715989	223	5918.131827584	4660.257694941	5604.696721054
97716065	274	4773.723622018	3759.088660265	4520.898471175
97716090	278	1107.167706588	833.615888454	1028.91281435
