AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
57272274	1	3	8	2004	9917	54	7
57275298	1	2	8	2008	9917	1	7
57275298	2	2	8	2002	2003	5	7
57275298	3	4	8	2001	9917	18	7
57275660	1	4	8	2007	9917	9	7
57277289	1	3	8	2001	2003	22	7
57277289	2	4	8	2002	9917	14	7
57277289	3	5	8	2006	9917	19	7
57277290	1	2	8	2005	2008	37	7
57277290	1	1	1	2008	9917	2	7
57279640	1	2	8	2005	9917	34	7
57279640	1	1	1	2007	9917	5	7
88122937	1	2	8	2002	2004	20	7
88122937	2	4	8	2006	9917	26	7
88149345	1	2	8	1995	9917	155	7
88149345	1	1	1	1995	9917	153	7
88183732	1	2	8	2003	9917	62	7
88183732	1	1	1	2004	9917	47	7
88191219	1	2	8	2000	9917	96	7
88191364	1	2	8	2001	9917	88	7
88191364	1	1	1	2007	9917	11	7
88202138	1	2	8	2007	9917	15	7
88202138	2	3	8	1997	2003	67	7
88239382	1	2	8	1999	9917	109	7
88249047	1	1	1	1995	9917	155	7
88251811	1	5	8	2008	2008	1	7
88268811	1	2	8	2003	2004	15	7
88268811	2	2	8	2005	2006	4	7
88268811	3	3	8	2006	9917	21	7
90316053	1	2	8	2000	2005	62	7
90316053	2	2	8	2007	2008	5	7
90316656	1	2	8	2005	2005	9	7
90316656	2	2	8	2007	9917	13	7
90500059	1	1	1	2004	9917	45	7
90500459	1	3	8	1997	2004	85	7
90500516	1	2	8	1999	9917	100	7
90500516	1	1	1	2002	9917	66	7
90500516	2	2	8	1994	1994	1	7
90500516	3	2	8	1996	1997	19	7
90500516	4	3	8	1995	1996	5	7
90500638	1	2	8	2006	9917	23	7
90500638	1	1	1	2007	9917	11	7
90500638	2	2	8	2002	2003	6	7
90500638	3	3	8	2000	2001	6	7
90500914	1	2	8	1998	9917	115	7
90500914	1	1	1	2007	9917	10	7
90500974	1	2	8	2008	9917	4	7
90500974	2	2	8	2003	2005	18	7
90503807	1	1	1	2007	9917	10	7
90503807	2	2	8	2003	2006	34	7
90504005	1	2	8	1996	9917	143	7
90504005	1	1	1	2003	9917	63	7
90504104	1	2	8	2006	9917	25	7
90504142	1	2	8	1998	2002	50	7
90504142	1	1	1	2000	2002	27	1
90504142	2	2	8	2003	9917	60	7
90504220	1	2	8	2003	9917	59	7
90504220	1	1	1	2004	9917	45	7
90504248	1	2	8	1993	1997	48	7
90504248	2	2	8	1997	1997	6	7
90504280	1	1	1	2003	9917	57	7
90504280	2	2	8	2000	2000	7	7
90504500	1	3	8	2000	2003	39	7
90504500	2	4	8	2006	9917	20	7
90504504	1	2	8	2005	2005	3	7
90504504	2	4	8	2006	9917	21	7
90504603	1	2	8	2006	9917	15	7
90504786	1	2	8	2001	9917	84	7
90504786	2	2	8	1998	2000	60	7
90506040	1	2	8	1997	2005	102	7
90506040	2	2	8	2005	2007	21	7
90506040	3	4	8	2008	9917	1	7
90506094	1	2	8	2007	9917	8	7
90506094	2	2	8	2007	9917	7	7
90506203	1	2	8	1998	9917	113	7
90506203	1	1	1	1999	9917	109	7
90506236	1	4	8	2007	9917	14	7
90506268	1	2	8	2006	2007	10	7
90506268	2	3	8	2000	2004	49	7
90506372	1	2	8	1999	9917	108	7
90506372	1	1	1	1999	9917	106	7
90506397	1	3	8	9998	9998	998	7
90506397	2	4	8	9998	9917	998	7
90506428	1	1	1	2000	9917	97	7
90506472	1	2	8	2000	9917	97	7
90506472	1	1	1	2000	9917	92	7
90506472	2	2	8	1998	1999	4	7
90506725	1	2	8	1998	2004	24	7
90506725	1	1	1	1999	9917	106	7
90506725	2	2	8	2004	2004	2	7
90506725	3	3	8	1996	1996	4	7
90506828	1	2	8	2000	2003	33	7
90506828	1	1	1	2001	2003	33	1
90506828	2	3	8	1998	1998	998	7
90506828	3	4	8	2006	9917	12	7
90506849	1	2	8	2001	2001	60	7
90506849	1	1	1	2007	9917	12	7
90506849	2	3	8	1997	1998	12	7
90506849	3	3	8	2002	2002	6	7
90506987	1	1	1	2004	9917	45	7
90507350	1	1	1	1999	2005	81	1
90507350	2	2	8	2007	9917	14	7
90507350	3	2	8	2005	2005	3	7
90507350	4	3	8	1996	1996	3	7
90507350	5	4	8	2007	9917	14	7
90507957	1	2	8	1997	2005	96	7
90507957	1	1	1	1997	2005	90	3
90507957	2	2	8	2007	9917	11	7
90507957	3	2	8	2006	2006	8	7
90507957	4	2	8	2005	9998	998	7
90507957	5	3	8	9998	9998	998	7
90507957	6	3	8	9998	9998	998	7
90507957	7	3	8	9998	9998	998	7
90508033	1	1	1	2000	9917	96	7
90508165	1	2	8	1999	2004	72	7
90508165	1	1	1	2001	2006	36	1
90508165	2	2	8	2007	9917	7	7
90508325	1	1	1	2000	2002	20	1
90508325	2	1	1	2004	2006	27	1
90508325	3	1	1	2007	2007	4	8
90508325	4	2	8	2007	9917	11	7
90508577	1	1	1	2006	9917	17	7
90508969	1	2	8	2002	9917	71	7
90540850	1	2	8	1997	2000	37	7
90540850	2	2	8	2000	2004	48	7
90540850	3	2	8	2003	2004	18	7
90540850	4	5	8	2004	9917	52	7
90543102	1	2	8	1997	1998	9	7
90543102	2	2	8	2007	9917	7	7
90543102	3	3	8	2001	2005	51	7
90543102	4	4	8	9998	9917	998	7
90543104	1	2	8	1999	9917	98	7
90543104	1	1	1	2006	9917	20	7
90544989	1	3	8	2003	2006	36	7
90544989	2	5	8	2006	2008	16	7
90546223	1	2	8	2007	9917	12	7
90546223	2	2	8	1998	1999	12	7
90546223	3	2	8	2000	2000	6	7
90546223	4	2	8	2001	2004	36	7
90548078	1	3	8	1997	1998	6	7
90548078	2	3	8	2003	2003	0	7
90548078	3	5	8	9996	9996	998	7
90570023	1	1	1	2006	9917	17	7
90570023	2	2	8	2000	2001	1	7
90570023	3	3	8	1997	1998	12	7
90570051	1	5	8	2006	2007	20	7
90570180	1	1	1	2002	2005	41	1
90570180	2	2	8	2007	2008	12	7
90570180	3	2	8	1998	1999	12	7
90570180	4	3	8	9996	9996	998	7
90570180	5	4	8	2006	9917	31	7
90570180	6	4	8	2008	9917	7	7
90570180	7	4	8	9996	9917	998	7
90570180	8	4	8	9996	9917	998	7
90570180	9	4	8	9996	9917	998	7
90570180	10	5	8	2006	2006	2	7
90570184	1	2	8	1997	2004	86	7
90570184	1	1	1	2000	2005	60	1
90570184	2	2	8	2004	9917	48	7
90570190	1	2	8	2002	2002	7	7
90570190	2	2	8	2005	2005	3	7
90570190	3	4	8	2004	9917	43	7
90570220	1	2	8	2001	9917	81	7
90570220	1	1	1	2004	9917	43	7
90570220	2	2	8	2000	2001	9	7
90570220	3	3	8	1996	1997	12	7
90570222	1	2	8	1997	2000	41	7
90570222	1	1	1	1997	2000	38	1
90570222	2	2	8	2001	2002	15	7
90570222	3	2	8	2002	2003	9	7
90570222	4	2	8	2003	2003	3	7
90570222	5	2	8	2004	9917	47	7
90570222	6	2	8	2000	2000	3	7
90570222	7	2	8	2000	2001	1	7
90570222	8	3	8	2001	2001	5	7
90570280	1	2	8	1999	9917	99	7
90570280	1	1	1	2007	9917	7	7
90570282	1	2	8	2005	2007	23	7
90570373	1	2	8	2005	9917	29	7
90570373	1	1	1	2006	9917	22	7
90570373	2	1	1	1999	2003	51	1
90570373	3	2	8	2005	2005	12	7
90570373	4	2	8	9998	9998	998	7
90570373	5	3	8	9998	9998	998	7
90570388	1	1	1	2002	9917	69	7
90570412	1	4	8	1996	9917	142	7
90570531	1	2	8	1999	2001	13	7
90570531	1	1	1	1999	2003	44	1
90570531	2	2	8	2003	9917	51	7
90570531	2	1	1	2004	9917	43	7
90570531	3	2	8	2001	2002	14	7
90570531	4	2	8	2003	2003	7	7
90570531	5	2	8	9998	1999	12	7
90570582	1	2	8	2000	2000	7	7
